
STERILE MEDICATIONS,,,,,,,,
Category,Regemin Step,Dose,Medication,Type,API mg,Vial Size,Tier 1 Pricing,
GLP1's Pharmacy 1,,,,,,,,
Weight Loss,Step 1,Up to 0.3125mg Weekly,Semaglutide/Pyridoxine,Injectable,1.25mg,1ml,$85.00,$212.50
Weight Loss,Step 2,Up to 0.625mg Weekly,Semaglutide/Pyridoxine,Injectable,2.5mg,1ml,$90.00,$225.00
Weight Loss,Step 3,Up to 1.25mg Weekly,Semaglutide/Pyridoxine,Injectable,5mg,2ml,$100.00,$250.00
Weight Loss,Step 4,Up to 1.875mg Weekly,Semaglutide/Pyridoxine,Injectable,7.5mg,3ml,$110.00,$275.00
Weight Loss,Step 5,Up to 2.5mg Weekly,Semaglutide/Pyridoxine,Injectable,10mg,4ml,$120.00,$300.00

Weight Loss,Step 1,Up to 2mg Weekly,Tirzepatide/Pyridoxine,Injectable,8mg,1ml,$102.00,$255.00
Weight Loss,Step 2,Up to 3.125mg Weekly,Tirzepatide/Pyridoxine,Injectable,12.5mg,1ml,$129.00,$322.50
Weight Loss,Step 3,Up to 6.25mg Weekly,Tirzepatide/Pyridoxine,Injectable,25mg,2ml,$168.00,$420.00
Weight Loss,Step 4,Up to 9.375mg Weekly,Tirzepatide/Pyridoxine,Injectable,38mg,3ml,$196.00,$490.00
Weight Loss,Step 5,Up to 12.5mg Weekly,Tirzepatide/Pyridoxine,Injectable,50mg,4ml,$218.00,$545.00
Weight Loss,Step 6,Up to 15mg Weekly,Tirzepatide/Pyridoxine,Injectable,60mg,3ml,$236.00,$590.00

GLP1's Pharmacy 2,,,,,,,,,
Weight Loss,Step 1,Up to 0.25mg Weekly,Semaglutide/Cyanocobalamin,Injectable,1mg,1ml,$85.00,$212.50
Weight Loss,Step 2,Up to 0.5mg Weekly,Semaglutide/Cyanocobalamin,Injectable,2mg,1ml,$90.00,$225.00
Weight Loss,Step 3,Up to 1.0mg Weekly,Semaglutide/Cyanocobalamin,Injectable,4mg,1ml,$100.00,$250.00
Weight Loss,Step 4,Up to 1.5mg Weekly,Semaglutide/Cyanocobalamin,Injectable,6mg,1ml,$110.00,$275.00
Weight Loss,Step 5,Up to 2.5mg Weekly,Semaglutide/Cyanocobalamin,Injectable,10mg,1ml,$120.00,$300.00

Weight Loss,Step 1,Up to 2.5mg Weekly,Tirzepatide/Cyanocobalamin,Injectable,5mg,2ml,$102.00,$255.00
Weight Loss,Step 2,Up to 5mg Weekly,Tirzepatide/Cyanocobalamin,Injectable,10mg,2ml,$129.00,$322.50
Weight Loss,Step 3,Up to 7.5mg Weekly,Tirzepatide/Cyanocobalamin,Injectable,15mg,2ml,$168.00,$420.00
Weight Loss,Step 4,Up to 10mg Weekly,Tirzepatide/Cyanocobalamin,Injectable,20mg,2ml,$196.00,$490.00
Weight Loss,Step 5,Up to 12.5mg Weekly,Tirzepatide/Cyanocobalamin,Injectable,25mg,2ml,$218.00,$545.00
Weight Loss,Step 6,Up to 15mg Weekly,Tirzepatide/Cyanocobalamin,Injectable,30mg,2ml,$236.00,$590.00

PEPTIDES,,,,,,,,
